@relation cleanCSV

@attribute Project string
@attribute Version string
@attribute Class string
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg(cc) numeric
@attribute bugs numeric

@data
ant,1.3,org.apache.tools.ant.AntClassLoader,17,2,0,9,64,76,7,2,9,0.879167,713,0.6,2,0.708333,0.339286,1,3,40.058823,1.411765,2
ant,1.3,org.apache.tools.ant.taskdefs.ExecuteOn,11,4,2,14,42,29,2,12,5,0.725,395,1,1,0.885057,0.232323,3,4,34.545456,1.272727,0
ant,1.3,org.apache.tools.ant.Main,14,1,0,7,82,65,0,7,1,0.816568,1253,0.846154,0,0,0.169643,0,0,87.57143,2.142857,1
ant,1.3,org.apache.tools.ant.taskdefs.Copy,17,3,1,12,64,52,1,11,13,0.793269,642,1,1,0.698113,0.242647,1,1,36,2,0
ant,1.3,org.apache.tools.ant.util.GlobPatternMapper,5,1,0,3,15,0,2,1,4,0.5,137,1,0,0,0.9,0,0,25.2,1.8,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$1,2,1,0,2,4,0,1,2,1,0.5,20,1,1,0,0.625,0,0,8,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.Move,4,4,0,6,32,6,0,6,1,2,325,0,0,0.963855,0.75,3,5,80.25,5.25,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$5,2,1,0,3,5,0,1,3,1,0.5,28,1,1,0,0.583333,0,0,12,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.KeySubst,8,3,0,3,40,10,0,3,8,0.714286,271,1,0,0.840909,0.40625,1,1,32.375,1.25,0
ant,1.3,org.apache.tools.ant.taskdefs.Ant,10,3,0,9,70,1,1,8,8,0.703704,440,0.666667,1,0.804348,0.466667,1,1,42.4,1.9,0
ant,1.3,org.apache.tools.ant.BuildLogger,4,1,0,3,4,6,2,1,4,2,4,0,0,0,0.5,0,0,0,1,0
ant,1.3,org.apache.tools.ant.ProjectHelper$DataTypeHandler,4,3,0,7,19,0,1,6,4,0.166667,94,1,1,0.857143,0.428571,0,0,22,0.75,0
ant,1.3,org.apache.tools.ant.taskdefs.GenerateKey$DnameParam,5,1,0,1,6,6,1,0,5,0.75,24,1,0,0,0.7,0,0,3.4,0.8,0
ant,1.3,org.apache.tools.ant.taskdefs.Execute$Java13CommandLauncher,3,2,0,5,17,1,1,4,2,0.875,133,0.25,0,0.5,0.4,0,0,42,0.666667,0
ant,1.3,org.apache.tools.ant.BuildListener,7,1,0,6,7,21,5,1,7,2,7,0,0,0,1,0,0,0,1,0
ant,1.3,org.apache.tools.ant.taskdefs.PumpStreamHandler,11,1,1,8,17,41,6,2,8,0.7,93,1,0,0,0.666667,0,0,7.090909,0.727273,0
ant,1.3,org.apache.tools.ant.taskdefs.CallTarget,5,3,0,7,20,2,0,7,5,0.625,76,1,1,0.902439,0.6,2,2,13.8,1,0
ant,1.3,org.apache.tools.ant.util.MergingMapper,4,1,0,4,5,0,3,1,4,0.333333,24,1,0,0,0.875,0,0,4.75,0.75,0
ant,1.3,org.apache.tools.ant.taskdefs.Rmic$RmicFileNameMapper,6,1,0,4,30,13,1,4,3,0.8,208,0.75,3,0,0.458333,0,0,33,2.833333,0
ant,1.3,org.apache.tools.ant.taskdefs.Execute$1,0,1,0,5,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0
ant,1.3,org.apache.tools.ant.taskdefs.Exit,3,3,0,2,6,1,0,2,3,0.5,29,1,0,0.948718,0.666667,0,0,8.333333,0.666667,0
ant,1.3,org.apache.tools.ant.BuildException,14,4,0,99,28,0,98,1,14,0.384615,153,1,1,0.65,0.333333,1,2,9.785714,0.642857,0
ant,1.3,org.apache.tools.ant.PathTokenizer,3,1,0,2,15,0,2,0,3,0.166667,100,1,0,0,0.666667,0,0,31.333334,1,0
ant,1.3,org.apache.tools.ant.taskdefs.Get,8,3,0,6,46,10,0,6,7,0.771429,394,1,0,0.840909,0.375,1,1,47.625,1,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper,14,1,0,24,63,63,20,20,9,0.841346,822,0.4375,0,0,0.333333,0,0,56.57143,2.785714,2
ant,1.3,org.apache.tools.ant.taskdefs.Execute$Java11CommandLauncher,3,2,0,5,12,3,1,4,1,2,48,0,0,0.666667,0.5,1,1,15,0.333333,0
ant,1.3,org.apache.tools.ant.taskdefs.Expand,5,4,0,8,45,6,0,8,4,0.75,261,1,0,0.951219,0.6,4,5,50.8,2,0
ant,1.3,org.apache.tools.ant.util.regexp.RegexpMatcher,4,1,0,5,4,6,4,1,4,2,4,0,0,0,0.875,0,0,0,1,0
ant,1.3,org.apache.tools.ant.types.Commandline$Marker,2,1,0,4,7,0,3,2,1,0,56,1,1,0,0.666667,0,0,25.5,2,0
ant,1.3,org.apache.tools.ant.taskdefs.Chmod,14,5,0,10,43,15,0,10,12,0.615385,168,1,1,0.891667,0.392857,3,5,10.857142,1.357143,0
ant,1.3,org.apache.tools.tar.TarEntry,31,1,0,6,65,243,4,2,30,0.726667,747,1,0,0,0.182796,1,1,22.612904,1.16129,0
ant,1.3,org.apache.tools.ant.ProjectHelper$TargetHandler,3,3,0,6,29,0,1,5,3,0.25,184,1,2,0.9,0.6,0,0,59.666668,0.666667,0
ant,1.3,org.apache.tools.ant.taskdefs.SQLExec$OnError,2,2,0,2,3,1,1,1,2,2,20,0,0,0.888889,1,1,1,9,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.Execute$CommandLauncherProxy,2,2,3,6,4,0,3,3,1,0,17,1,1,0.666667,0.625,1,1,7,0.5,0
ant,1.3,org.apache.tools.mail.SmtpResponseReader,5,1,0,1,18,0,1,0,3,0.5,96,1,0,0,0.533333,0,0,17.8,1,0
ant,1.3,org.apache.tools.ant.DirectoryScanner,23,1,1,22,51,181,20,2,14,0.731405,1407,1,0,0,0.290909,0,0,59.695652,5.869565,0
ant,1.3,org.apache.tools.ant.XmlLogger,10,1,0,9,49,1,0,9,8,0.920635,382,1,0,0,0.833333,0,0,35.1,1.9,0
ant,1.3,org.apache.tools.ant.taskdefs.Jar,6,5,1,6,33,7,1,5,3,0.7,164,1,0,0.961538,0.5,3,6,26,1,0
ant,1.3,org.apache.tools.ant.taskdefs.Replace$NestedString,3,1,0,2,7,0,2,1,3,0.5,26,1,1,0,0.555556,0,0,7,0.666667,0
ant,1.3,org.apache.tools.ant.taskdefs.Tstamp$CustomFormat,6,1,0,4,20,1,1,4,6,0.76,161,1,1,0,0.333333,0,0,25,2.666667,0
ant,1.3,org.apache.tools.ant.taskdefs.Untar,4,3,0,8,42,2,0,8,4,0.666667,242,1,0,0.925,0.75,2,3,59,0.75,0
ant,1.3,org.apache.tools.ant.taskdefs.LogOutputStream,7,2,1,8,15,1,7,1,4,0.583333,92,1,1,0.454545,0.464286,1,1,11.571428,0.857143,0
ant,1.3,org.apache.tools.ant.ProjectHelper$TaskHandler,5,3,0,12,31,0,2,10,4,0.3125,160,1,4,0.818182,0.35,1,1,30.2,1.2,0
ant,1.3,org.apache.tools.ant.types.PatternSet$NameEntry,7,1,0,8,9,11,7,2,6,0.75,63,1,1,0,0.464286,0,0,7.428571,1.571428,0
ant,1.3,org.apache.tools.ant.taskdefs.Taskdef,8,3,0,8,25,14,1,7,8,0.714286,157,1,1,0.840909,0.375,0,0,18.25,1.125,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$16,2,1,0,4,6,0,1,4,1,0.333333,44,1,1,0,0.571429,0,0,19.5,0.5,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$10,2,1,0,3,5,0,1,3,1,0.5,28,1,1,0,0.583333,0,0,12,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.Rmic,22,4,0,16,72,165,1,16,16,0.904762,675,1,1,0.787879,0.227273,3,3,29.045454,1.227273,1
ant,1.3,org.apache.tools.ant.types.Mapper$MapperType,3,2,0,2,8,1,1,1,3,0.5,71,1,0,0.8,1,1,1,22.333334,0.666667,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$9,2,1,0,3,5,0,1,3,1,0.5,28,1,1,0,0.583333,0,0,12,0.5,0
ant,1.3,org.apache.tools.ant.NoBannerLogger,4,2,0,3,16,0,0,3,4,0.333333,59,1,0,0.842105,0.875,1,1,13.5,1.75,0
ant,1.3,org.apache.tools.ant.types.Mapper,11,3,0,11,37,11,3,8,10,0.683333,285,1,3,0.75,0.287879,1,1,24.363636,1.909091,0
ant,1.3,org.apache.tools.ant.ProjectHelper$RootHandler,5,2,0,4,29,0,1,4,3,0,179,1,1,0.823529,0.4,0,0,34.6,1.4,0
ant,1.3,org.apache.tools.ant.util.RegexpPatternMapper,5,1,0,4,20,0,0,4,4,0.333333,144,1,1,0,0.9,0,0,27.2,2.2,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$6,2,1,0,3,5,0,1,3,1,0.5,28,1,1,0,0.583333,0,0,12,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.Javadoc$DocletParam,5,1,0,2,6,6,2,1,5,0.833333,28,1,1,0,0.533333,0,0,4,0.8,0
ant,1.3,org.apache.tools.tar.TarUtils,8,1,0,1,14,28,1,0,8,2,274,0,0,0,0.45,0,0,33.25,2.875,0
ant,1.3,org.apache.tools.ant.taskdefs.UpToDate,7,4,0,11,32,0,0,11,6,0.666667,189,1,1,0.928571,0.342857,1,1,25.428572,1.142857,0
ant,1.3,org.apache.tools.ant.taskdefs.XSLTProcess$Param,5,1,0,2,7,0,1,2,5,0.666667,50,1,1,0,0.533333,0,0,8.4,0.8,0
ant,1.3,org.apache.tools.ant.taskdefs.Javadoc$LinkArgument,7,1,0,1,8,11,1,1,7,0.833333,41,1,1,0,0.392857,0,0,4.285714,0.857143,0
ant,1.3,org.apache.tools.tar.TarConstants,0,1,0,1,0,0,1,0,0,2,24,0,0,0,0,0,0,0,0,0
ant,1.3,org.apache.tools.ant.types.CommandlineJava$SysProperties,6,2,0,6,25,9,3,3,6,0.6,123,0,0,0.375,1,1,2,19.333334,0.833333,0
ant,1.3,org.apache.tools.ant.taskdefs.Echo$EchoLevel,2,2,0,2,3,1,1,1,2,2,28,0,0,0.888889,1,1,1,13,0.5,0
ant,1.3,org.apache.tools.ant.ProjectHelper$NestedElementHandler,4,3,0,10,23,0,2,8,4,0.133333,157,1,3,0.857143,0.388889,0,0,37,0.75,0
ant,1.3,org.apache.tools.ant.taskdefs.Copyfile,6,3,0,4,21,1,0,4,6,0.7,136,1,0,0.880952,0.416667,2,2,21,0.833333,0
ant,1.3,org.apache.tools.ant.DefaultLogger,14,1,1,8,32,49,4,4,12,0.835165,257,1,0,0,0.307692,0,0,16.857143,1.642857,2
ant,1.3,org.apache.tools.ant.ProjectHelper,17,1,0,19,73,112,13,7,5,0.84375,502,1,1,0,0.170455,0,0,28.17647,1,3
ant,1.3,org.apache.tools.ant.util.SourceFileScanner,3,1,0,9,25,1,7,2,3,0,277,1,1,0,0.666667,0,0,91,5.333334,0
ant,1.3,org.apache.tools.ant.taskdefs.Rename,5,3,0,4,18,0,0,4,5,0.666667,107,1,0,0.902439,0.8,1,1,19.8,0.8,0
ant,1.3,org.apache.tools.ant.taskdefs.Tar$TarFileSet,9,5,0,4,14,0,1,3,9,0.65625,83,1,0,0.928571,0.388889,0,0,7.777778,0.888889,0
ant,1.3,org.apache.tools.ant.Project,71,1,0,103,186,2247,99,7,55,0.972449,2193,0.571429,0,0,0.127731,0,0,29.492958,1.577465,1
ant,1.3,org.apache.tools.ant.IntrospectionHelper$NestedCreator,1,1,0,3,1,0,3,0,1,2,1,0,0,0,1,0,0,0,1,0
ant,1.3,org.apache.tools.ant.RuntimeConfigurable,9,1,0,8,25,10,5,3,7,0.6875,114,1,0,0,0.25,0,0,11.222222,0.888889,2
ant,1.3,org.apache.tools.ant.taskdefs.Javadoc$JavadocOutputStream,3,4,0,3,6,0,1,3,0,0.5,73,1,1,0.882353,0.583333,1,1,22.666666,2.666667,0
ant,1.3,org.apache.tools.ant.taskdefs.Mkdir,3,3,0,3,14,1,0,3,3,0.5,84,1,0,0.948718,0.666667,1,1,26.666666,0.666667,1
ant,1.3,org.apache.tools.ant.taskdefs.SQLExec,23,3,0,10,96,175,1,10,19,0.886364,1034,1,2,0.627119,0.191304,3,3,43.086956,1.304348,0
ant,1.3,org.apache.tools.ant.util.DOMElementWriter,5,1,0,1,35,4,1,0,4,0.583333,354,1,0,0,0.5,0,0,69.2,3.2,0
ant,1.3,org.apache.tools.ant.taskdefs.Javadoc$1,2,1,0,1,4,1,1,1,1,1,17,1,1,0,0.625,0,0,7,1,0
ant,1.3,org.apache.tools.ant.types.ZipFileSet,9,5,0,10,20,4,3,7,9,0.6875,110,1,0,0.919192,0.388889,2,7,10.777778,1.222222,0
ant,1.3,org.apache.tools.ant.BuildEvent,11,2,0,7,15,13,5,3,11,0.75,97,1,3,0.2,0.220779,0,0,7.272728,0.727273,0
ant,1.3,org.apache.tools.ant.taskdefs.Property,27,3,0,11,83,291,2,9,20,0.889423,658,1,2,0.587302,0.185185,0,0,23.074074,1.925926,2
ant,1.3,org.apache.tools.ant.taskdefs.Execute$CommandLauncher,4,1,3,10,13,6,7,3,2,2,42,0,0,0,0.5,0,0,9.5,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.CompileTask,4,5,0,5,21,0,0,5,4,0.333333,87,1,0,0.980892,1,1,1,20.5,1.25,0
ant,1.3,org.apache.tools.ant.taskdefs.GenerateKey$DistinguishedName,5,1,0,2,22,0,1,1,5,0.916667,130,1,0,0,0.6,0,0,24.4,1.6,0
ant,1.3,org.apache.tools.ant.taskdefs.Deltree,4,3,0,3,17,4,0,3,3,0.666667,152,1,0,0.925,0.75,1,1,36.75,0.75,0
ant,1.3,org.apache.tools.ant.taskdefs.GUnzip,4,3,0,4,32,2,0,4,4,0.666667,215,1,0,0.925,0.75,1,1,52.25,0.75,0
ant,1.3,org.apache.tools.ant.taskdefs.compilers.Javac13,2,2,0,8,17,1,1,7,2,2,97,1,0,0.958333,1,0,0,47,0.5,0
ant,1.3,org.apache.tools.ant.util.regexp.JakartaOroMatcher,5,1,0,7,17,0,0,7,5,0.5,75,1,0,0,0.8,0,0,13.4,1.2,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$AttributeSetter,1,1,0,17,1,0,15,2,1,2,1,0,0,0,1,0,0,0,1,0
ant,1.3,org.apache.tools.ant.util.IdentityMapper,4,1,0,2,5,6,1,1,4,2,16,0,0,0,0.875,0,0,3,0.75,0
ant,1.3,org.apache.tools.ant.types.Commandline$Argument,6,1,0,15,10,0,14,2,6,0.6,51,1,1,0,0.366667,0,0,7.166666,0.833333,0
ant,1.3,org.apache.tools.ant.taskdefs.GZip,6,3,0,4,25,11,0,4,4,0.8,157,1,0,0.880952,0.4,2,2,24.833334,0.833333,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$4,2,1,0,3,6,0,1,3,1,0.5,30,1,1,0,0.583333,0,0,13,0.5,0
ant,1.3,org.apache.tools.ant.util.regexp.JakartaRegexpMatcher,5,1,0,4,13,0,0,4,5,0.5,65,1,0,0,0.8,0,0,11.6,1.2,0
ant,1.3,org.apache.tools.ant.taskdefs.Cvs,12,3,0,12,37,32,0,12,12,0.858586,310,1,1,0.770833,0.458333,0,0,24.083334,1.416667,0
ant,1.3,org.apache.tools.tar.TarOutputStream,15,3,0,3,37,41,1,2,14,0.696429,437,0.75,1,0.454545,0.311111,1,2,27.333334,0.8,0
ant,1.3,org.apache.tools.ant.types.DataType,9,1,4,8,15,18,5,3,5,0.708333,98,1,1,0,0.288889,0,0,9.555555,1,0
ant,1.3,org.apache.tools.ant.Location,5,1,0,51,10,8,51,0,3,0.3125,69,0.75,1,0,0.583333,0,0,12,0.6,0
ant,1.3,org.apache.tools.ant.taskdefs.Execute$MacCommandLauncher,2,3,0,4,8,1,1,4,1,2,40,0,0,0.75,0.6,1,1,19,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.Javac,42,4,1,19,74,741,7,13,40,0.94835,550,1,4,0.655462,0.210884,3,3,11.690476,1.214286,0
ant,1.3,org.apache.tools.ant.taskdefs.Javadoc,65,3,0,21,155,1670,6,21,59,0.917188,1504,1,5,0.37,0.244141,3,3,21.830769,1.523077,0
ant,1.3,org.apache.tools.ant.util.FlatFileNameMapper,4,1,0,2,7,6,1,1,4,2,20,0,0,0,0.875,0,0,4,0.75,0
ant,1.3,org.apache.tools.ant.taskdefs.Touch,8,3,0,7,32,8,3,4,5,0.738095,300,0.833333,0,0.860465,0.357143,1,1,35.75,0.75,0
ant,1.3,org.apache.tools.ant.taskdefs.Execute$WinNTCommandLauncher,2,3,0,4,6,1,1,3,1,2,58,0,0,0.75,0.6,1,1,28,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.Echo,7,3,0,7,22,0,0,7,7,0.625,147,1,0,0.860465,0.342857,1,1,19.428572,1.428572,0
ant,1.3,org.apache.tools.ant.taskdefs.Execute$ScriptCommandLauncher,2,3,0,4,13,0,1,3,1,0,79,1,0,0.75,0.583333,1,1,38,0.5,0
ant,1.3,org.apache.tools.ant.types.Environment$Variable,8,1,0,7,16,2,5,2,8,0.571429,66,1,0,0,0.375,0,0,7,0.875,0
ant,1.3,org.apache.tools.ant.types.ZipScanner,6,2,0,3,11,13,2,1,6,0.8,68,1,0,0.924242,0.444444,1,5,10.166667,1.5,0
ant,1.3,org.apache.tools.mail.MailMessage,27,1,0,3,63,297,1,2,10,0.778846,527,0,2,0,0.37963,0,0,18.222221,1.444444,0
ant,1.3,org.apache.tools.ant.taskdefs.War,9,6,0,7,33,28,0,7,6,0.8125,163,1,0,0.950617,0.4,4,6,16.88889,1,0
ant,1.3,org.apache.tools.ant.types.Commandline,19,1,0,23,46,65,22,3,17,0.416667,448,1,0,0,0.289474,0,0,22.473684,2.421053,0
ant,1.3,org.apache.tools.ant.taskdefs.Copydir,8,4,0,6,35,4,0,6,7,0.714286,265,1,0,0.917647,0.46875,3,3,31.375,1.375,0
ant,1.3,org.apache.tools.ant.taskdefs.SignJar,14,3,0,5,35,63,0,5,13,0.909091,307,1,0,0.74,0.595238,2,3,20.142857,1.357143,0
ant,1.3,org.apache.tools.tar.TarBuffer,21,1,0,2,35,38,2,0,17,0.631818,617,0.818182,0,0,0.293651,0,0,27.857143,0.857143,0
ant,1.3,org.apache.tools.ant.Task,19,1,34,78,23,119,75,5,16,0.873016,125,1,4,0,0.218045,0,0,5.210527,1,0
ant,1.3,org.apache.tools.ant.taskdefs.ExecuteStreamHandler,5,1,0,10,5,10,10,0,5,2,5,0,0,0,0.533333,0,0,0,1,0
ant,1.3,org.apache.tools.ant.taskdefs.Replace,19,4,0,8,69,91,2,8,13,0.777778,632,1,2,0.8125,0.368421,1,1,31.894737,1.263158,1
ant,1.3,org.apache.tools.ant.types.Path$PathElement,4,1,0,2,12,0,1,2,4,0.333333,57,1,1,0,0.4375,0,0,12.75,1,0
ant,1.3,org.apache.tools.ant.taskdefs.TaskOutputStream,3,2,0,1,9,0,0,1,1,0,58,1,1,0.714286,0.666667,1,1,17.333334,0.666667,0
ant,1.3,org.apache.tools.ant.taskdefs.Exec,10,3,0,5,41,21,1,5,7,0.793651,360,1,0,0.804348,0.45,0,0,34.3,1.1,0
ant,1.3,org.apache.tools.ant.types.Path,24,3,0,27,80,182,20,8,18,0.565217,693,0.666667,2,0.588235,0.15415,2,5,27.75,2.291667,0
ant,1.3,org.apache.tools.ant.util.FileNameMapper,3,1,0,15,3,3,15,0,3,2,3,0,0,0,1,0,0,0,1,0
ant,1.3,org.apache.tools.ant.taskdefs.Exec$StreamPumper,3,2,0,1,10,0,1,1,3,0.25,77,1,2,0.959184,0.5,1,1,22.666666,1,0
ant,1.3,org.apache.tools.ant.taskdefs.Javadoc$DocletInfo,9,1,0,6,19,18,1,6,9,0.71875,82,1,2,0,0.288889,0,0,7.666666,1.111111,0
ant,1.3,org.apache.tools.ant.taskdefs.StreamPumper,2,1,0,1,6,0,1,0,2,1,39,1,0,0,0.666667,0,0,16.5,1,0
ant,1.3,org.apache.tools.ant.taskdefs.JavacOutputStream,4,2,0,1,11,0,0,1,1,0.222222,68,1,1,0.625,0.5,1,1,15.25,1,0
ant,1.3,org.apache.tools.ant.taskdefs.Delete,18,4,0,8,49,19,0,8,16,0.773109,579,1,0,0.821053,0.296296,2,3,30.777779,2.111111,0
ant,1.3,org.apache.tools.ant.taskdefs.Available,13,3,0,7,35,52,0,7,10,0.869048,273,1,2,0.755102,0.353846,1,1,19.461538,1.692308,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$13,2,1,0,3,5,0,1,3,1,0.5,27,1,1,0,0.583333,0,0,11.5,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,2,1,0,4,2,1,3,2,2,2,2,0,0,0,0.75,0,0,0,1,0
ant,1.3,org.apache.tools.ant.types.Reference,5,1,0,16,12,4,14,2,5,0.25,55,1,0,0,0.533333,0,0,9.8,0.6,0
ant,1.3,org.apache.tools.ant.ProjectHelper$ProjectHandler,7,3,0,8,36,0,1,7,3,0,278,1,1,0.75,0.6,1,1,38.57143,0.857143,0
ant,1.3,org.apache.tools.ant.taskdefs.AntStructure,8,3,0,6,55,24,0,6,3,0.809524,643,0.5,0,0.840909,0.303571,0,0,78.625,1.25,0
ant,1.3,org.apache.tools.ant.UnknownElement,6,3,0,10,33,0,3,8,5,0.466667,198,1,1,0.880952,0.333333,2,4,31.5,1,3
ant,1.3,org.apache.tools.ant.taskdefs.GenerateKey,14,3,0,6,33,65,0,6,14,0.910256,404,1,1,0.74,0.595238,2,3,27,1,0
ant,1.3,org.apache.tools.ant.taskdefs.compilers.Javac12,3,2,0,8,18,3,1,7,2,1,132,0,0,0.92,0.5,0,0,42,0.666667,0
ant,1.3,org.apache.tools.ant.types.FileSet,16,3,2,24,56,0,16,8,14,0.6,353,1,1,0.681818,0.226563,1,1,20.8125,1.75,1
ant,1.3,org.apache.tools.ant.IntrospectionHelper$3,2,1,0,3,4,0,1,3,1,0.5,25,1,1,0,0.583333,0,0,10.5,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.compilers.Jvc,2,2,0,9,19,1,1,8,2,2,120,0,0,0.958333,1,1,1,59,0.5,0
ant,1.3,org.apache.tools.ant.types.PatternSet,17,3,0,10,55,76,5,6,11,0.59375,461,1,0,0.652174,0.285714,1,1,25.882353,2.647059,1
ant,1.3,org.apache.tools.ant.IntrospectionHelper$8,2,1,0,3,5,0,1,3,1,0.5,28,1,1,0,0.583333,0,0,12,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.JikesOutputParser,12,1,0,3,21,44,1,2,5,0.805195,147,1,1,0,0.261905,0,0,10.666667,1.25,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$14,2,1,0,4,5,0,1,4,1,0.5,29,1,1,0,0.583333,0,0,12.5,0.5,0
ant,1.3,org.apache.tools.ant.TaskAdapter,4,3,0,6,15,0,4,2,4,0.333333,82,0,0,0.925,0.625,1,1,19.25,0.75,0
ant,1.3,org.apache.tools.ant.taskdefs.Patch,9,3,0,9,29,0,0,9,9,0.583333,168,1,1,0.822222,0.444444,0,0,17.333334,1.444444,0
ant,1.3,org.apache.tools.ant.DesirableFilter,2,1,0,0,6,1,0,0,2,2,45,0,0,0,0.666667,0,0,21.5,4,0
ant,1.3,org.apache.tools.ant.taskdefs.Execute,21,1,0,25,77,162,10,16,14,0.7375,566,0.916667,4,0,0.135,0,0,25.380953,1.809524,1
ant,1.3,org.apache.tools.ant.taskdefs.SQLExec$Transaction,5,1,0,2,16,0,1,2,3,0.333333,89,1,1,0,0.333333,0,0,16.2,0.8,0
ant,1.3,org.apache.tools.ant.types.EnumeratedAttribute,5,1,5,12,11,8,11,1,5,0.75,59,1,0,0,0.7,0,0,10.6,1.6,0
ant,1.3,org.apache.tools.ant.taskdefs.Java,22,3,0,17,77,95,0,17,19,0.742857,439,1,1,0.637931,0.172727,1,1,18.727272,1,0
